a,b,diff,d,e,41.4303924,17.0251642
07142,5,42,nadsama tiadenipe dacoraqquiri tiquenaji pina isso teppeppessa tiquenaji isso teppeppepa etero jadsire huajinecca oro todsimajari naraha tiadenipe diocca pajissehe pocca biquehe oro tidsimemanaji najaro huima pamehe ticajimanedsape huimasiri tadsajani ticahuadiredsa tidomo huanissa tanitohui,nazama tiadenipe dacoraqquiri tiquenarri pina isso teppeppessa tiquenarri isso teppeppepa etero rrazireuarrinecca oro tozimarrari naraha tiadenipe deocca parrissehe pocca biquehe oro tizimemanarri narraro uima pamehe ticarrimanezape uimasiri tazarrani ticauadireza tidomo uanissa tanitoui,,
07509,1,42,deo ia tocattejidsabaqquijaripa ia tonajidsobaqquihui huajine jarahui dio ia tocattehidsabaqquijaripa ia dsodsossede jesocristo ia tonassihua huabaqquihui huajinena paja,deo ia tocatterrizabaqquirraripa ia tonarrizo baqquiuiuarrine rraraui deo ia tocatterrizabaqquirraripa ia zozossede zeso cristo ia tonassiuauabaqquiuiuarrinena parra,,
07590,4,42,jehe timoti jeso cristodsa jehe tedsape pajissa pina occa ejedenissa tajaro nedsape icca abi dio ia dsodsossede jeso cristo tedseje tiadsa huima bicani inanemanana poccadeni tohuati huanehema tia acco icanemanana poccadeni jonehe naqui tiadsa tojana onajaro n,rrehe timoti zeso cristoza rrehe tezape parrissa pina occa erredenissa tarraro nezape icca abi deo ia zozossede zeso cristo tezerre tiaza uima bicani inanemanana poccadeni touati uanehema tia acco icanemanana poccadeni rronehe naqui tiaza torrana onarraro,,
07873,4,42,dio iadsa huati cahuanari canajaricca huimape ia mari canajaro aji ibodicca huimasiri inebonihuajine ajijaro namicca huima tohuini inajaro inebonihuajine ajijaro namidsa imadidsa icca madie bica tanihuajine naqui ia mari canajaro n,deo iaza uati cauanari canarraricca uimape ia mari canarraro arri ibodicca uimasiri ineboniuarrine arrirraro namicca uima touini inarraro ineboniuarrine arrirraro namiza imadiza icca madie bica taniuarrine naqui ia mari canarraro,,
07913,5,42,ohuape paoro aji odsepedsa doso onajarope pina ohuattissa onananitohui pocca dijinaja paca onanihuajine naraha tibodi huatomaji occa marinajajine jesocristocca tijedsape pina ohuadsa diji tajarossa najaron,ouape paoro arri ozepeza dozo onarrarope pina ouattissa onananitoui pocca dirrinarra paca onaniuarrine naraha tibodi uatomarri occa marinarrarrine zeso cristocca tirrezape pina ouaza dirri tarrarossa narraro,,
07958,4,42,jeso pohua caccoradsa dsoqquedsapa ia acco tocanabaqquijari paji idsoqqueri-jerani huajine taidepe dsoqquehe paji idsoqquerinicca noppineni icappinehe imadi dsanaporaha nema idsa napo-jeranihuajine ia tappa tabaqquijarin,zeso poua ccaccoraza zoqquezapa ia acco tocanabaqquirrari parri izoqqueri rreraniuarrine taidepe zoqquehe parri izoqquerinicca noppineni icappinehe imadi zanaporaha nema izanapo rreraniuarrine ia tappa tabaqquirrari,,
08006,3,42,maita cadsama isajahio potemahuidenicca diodsa dada toqquimade deni tojahuicca tojahuihuajine dio pohuana madija ojari ojari naha ihi cattejidsa najo najari n,maittaccazama izarraeo potemauidenicca deoza dada toqquimade deni torrauicca torrauiuarrine deo pouana madirra orrari orrari naha ihicatterriza narronarrari,,
08117,3,42,huahuacosaque tani taide huajipe dio anihuihuaji bica tanicca queque nanajari najaro sani ridsahuipa jojororo pinine orocca ani diosa da tahuihuajinecca pan huahua nari ani najaro,uauacossa que tani taideuarripe —deo aniuiuarri bica tanicca quequenanarrari narraroza anirizauipa rrorrororo pinine orocca ani deoza da tauiuarrinecca pao uauanari ani narraro,,
08216,3,42,madija badsimapa nema nanicca qqui toquenapojararaha nohuena pajissa diopa pohua attissa inananitohui najari nadsama nouepa pocca madija tocasihuahueraihuajine dajoni imenibote icanahuatojaro pina dio pohua icadosejarissa inanajaro,madirra bazimapa nema nanicca qqui toquenapo rrararaha noena —parrissa deopa poua attissa inananitoui narrari nazama noepa pocca madirra tocassiuauerauiuarrine darroni imenibote icanauatorraro pina deo poua icazosserrarissa inanarraro,,
08311,3,42,najarona ibodi tobicanihuajine pajireni naraa marinaja onii pina ajajari jiji papa tijipemana te jeraji oppinatahui quequenane jaricca marinajape tibodi deni tobicanihuajine pajire jerani,narrarona ibodi tobicaniuarrine parrireni naraha marinarra onihi pina —arrarrari rrirripapa tirripemana terrerarri oppina taui quequenanarraricca marinarrape tibodideni tobicaniuarrine parrire rrerani,,
08371,5,42,ohuimecotedeni tettidenipe iape jesocristodsa jehe inajaro tiquenera huima bicani ahuato tinanemana-jeredsape ticcadeni jeheniji ponimassa najaro ponima jesocristodsa jehe tiquenedsape ticassihuahuera padseje nohueranitohui,ouimecotedeni tettidenipe —iape zeso cristoza rrehe inarraro tiqueneraha uima bicani auato tinanemana rrerezape ticcadeni rrehenirri ponimassa narraro ponima zeso cristoza rrehe tiquenezape ticassiuauerapazerre noueranitoui,,
08467,3,42,diopa pocca madija tiquejenanihuajine tiadeni tocattejidsabaqquijari pohuapa huimasiri ssamo taja najari pohua bodipa ssihuaja huisso tajari nema nedsape tiadeni naqui tibodideni ssihuaja huisso tadsa huimasiri jirehe timadimanaji n,deopa pocca madirra tiquerrenaniuarrine tiadeni tocatterrizabaqquirrari pouapa uimasiri ssamo tarra narrari poua bodipa ssiuarra uisso tarrari nema nezape tiadeni naqui tibodideni ssiuarra uisso taza uimasiri rrirehe timadimanarri,,
08589,1,42,tibodidenidsa tohuini tiquenanicca huaidirehedsa poni tiquenanihuajine ticahuatteraji huima ocassera taniccadsa huima najo taniccadsa tedimana-jeredsa mohuaradsa tonahuanade ticahuatteraji ticcadeni madie diodsa tinanemanedsape pohua nacassa tahuiccassa tinanemanaji,tibodideniza touini tiquenanicca uaidireheza poni tiquenaniuarrine ticauatterarri uima ocassera taniccaza uima narro taniccaza tedimane rrereza mouaraza tonauanade ticauatterarri ticcadeni madie deoza tinanemanezape poua nacassa tauiccassa tinanemanarri,,
08638,3,42,aji maittaccadsama dio atti cacomeraqquiri najarideni huati toquenapojaricca naqui tibodideni huatomemanaji aja ia dsodsossede ia tonassihuahuade jesocristocca dsossenijipe pocca dsodsosse tabaqqui ia tiadenidsa ecomerajaro naqui tibodideni huatomemanaji onajaro,arri maittaccazama deo atti cacomeraqquiri narrarideni uati toquenaporraricca naqui tibodideni uatome manarri arra ia zozossede ia tonassiuauade zeso cristocca zossenirripe pocca zozosse tabaqqui ia tiadeniza ecomerarraro naqui tibodideni uatome manarri onarraro,,
08799,3,42,ohuapi dio attidsa titiqueriqqui najaro tiadenidsa huima dodso onaporaha madija oni dio trepepa occa huimadsa jehe najarajari pohua bodipa ohuana ajajarideni dsosede ojani nanaja najari naraha bica tejerani,ouape deo attiza titiqueriqqui narraro tiadeniza uima dozo onaporaha madirra oni diotrepepa occa uimaza rrehe narrararrari poua bodipa —ouana arrarrarideni zossede orrani nanarra narrari naraha bica terrerani,,
08954,4,42,nadsapa ehuehue bedipa papeo piconaqquini idinihuajine deni tojahuicca huihuittari bicabotehuaji toccajari nahuidsa huittarijari dsepe nahua toniccadsa papeo dsojo ijidsajaro idijaro,nazapa eueue bedipa papeo pico naqquini idiniuarrine deni torrauicca uiuittari bicaboteuarri toccarrari nauiza uittarirrari zepe nauatoniccaza papeo zorro irrizarraro idirraro,,
09141,4,42,najaro huima tojedsape diocca madijacca huima huato tanitohui diocca madijapa oppinani ahuehuemana naraha diocca dacorehema mohuaradsa ihinahuanemana nanitohui najari denipa diocca dsosseniji inapajiremananissa tajaro jesocristodsa naco dameraqquiri najari,narraro uima torrezape deocca madirracca uima auato tanitoui deocca madirrapa oppinani aueuemana naraha deocca dacorehema mouaraza ihinauanemana nanitoui narraridenipa deocca zossenirri inaparriremananissa tarraro zeso cristoza naco dameraqquiri narrari,,
09147,4,42,nadsapa diocca dsodsosse ohuaha memehuajicca diodsa dada toqquimahuaji qquenajari najari naco dsepedsa massito jocadsani idi tajaro dsojo ijidsajaro,nazapa deocca zozosse ouaha memeuarricca deoza dada toqquimauarri qquenarrari narrari naco zepeza massito rrocazani iditarraro zorro irrizarraro,,
09220,5,42,pohuadenipa babironiadsa najidsohue ssonarijaro noppineni cappinemanadsapa huajima cattomama canahuitohui pohuadeni attipa jaho babironia tiape icca odsa panani deni tojanicca dacorabote tijeraha ama dsati ticca huimasiri manaconi najidsohue tiadsa bacco tajaro quenahuitohui,pouadenipa babironiaza narrizoue ssonarirraro noppineni cappinemanazapa uarrima cattomama canauitoui pouadeni attipa —rraho babironia tiape icca oza panani deni torranicca dacorabote tirreraha amazati ticca uimasiri manaconi narrizoue tiaza bacco tarraro quenauitoui,,
09237,6,42,nadsama ticca jahui badsimadsape titire onini ajpa mohui todidi totori mohuini todidi jojo mohui todidi nadsapa madija mittemana poma-jarahuitohui ticca tatarabayadedeni naco amossihuajahuitohui tiricorihuarihua mohuini naqui todidi nanitohui n,—nazama ticca rraui bazimazape titire onini arpa moui todidi totori mouini todidi rrorro moui todidi nazapa madirra mittemanapoma rrarauitoui ticca tatarabaiadedeni naco amossiuarrauitoui tirico riua riua mouini naqui todidi nanitoui,,
09296,5,42,najaro odsa pananipe dio poccadeni tojehe pohua ssihuejenejine dsibehi tajaro najaro dsibehinipe pina siba huatini ccara tanicca dsia masi dsibehinissa najaro ssihuaja tajaro pina cristalinossa najaro na,narraro oza pananipe deo pocca deni torrehe poua ssiuerrenerrine zibehi tarraro narraro zibehinipe pina siba uatini ccara tanicca diamante zibehinissa narraro ssiuarra tarraro pina cristalinossa narraro,,
00060,3,41,marimari ihicanabaqquiridsa nadsapa ajama nanaridsa najari ticcadeni huima siri tineboridsemanaji dio tohuira tidsanapomanaji diocca cacahuehepe iadsa bacco najonabote nani nanaja najari dsohuao na,mari mari ihicanabaqquiriza nazapa arrama nanariza narrari —ticcadeni uimasiri tineborizemanarri deotouira tizanapomanarri deocca cacauehepe iaza bacco narronabote nani nanarra narrari zouao,,
00107,3,41,madija bodidenidsa tocorime taminecca dsodsosse tabaqqui tocorimedeni madidsema najarideni aja huatianiji comani cajimanajarideni aja madija idedeni tone biqueradsa issodeni siri toquejenajarideni naco ehe ccajone baqquimana nadsa seso iinanomibaqqui najari,madirra bodideniza tocorime taminecca zozosse tabaqqui tocorimedeni madizemanarrarideni arra uatianirri comani carrimanarrarideni arra madirra idedeni tone biqueraza issodeni siri toquerrenarrarideni naco eheccarrone baqquimana naza zeso ihinanomibaqqui narrari,,
00301,3,41,seso atti nama nadsapa jodeodenicca marinaja maridedeni mota mittemanadsapa pohuadenira ssejeje cosseri najari papaja sesopa huima siri onanamossina nahua pohua attipa ohuape pina dio ojani nanaja najarissa nahua jesocca huimape bica tejerani pina dio itamassojarissa nahui quenahui nade,zeso atti nama nazapa zodeodenicca marinarra maridedeni mota mittemanazapa pouadenira sserrerre cosseri narrari —paparra zesopa uimasiri onanamossina naua poua attipa ouape pina deo orrani nanarra narrarissa naua zesocca uimape bica terrerani pina deo itamassorrarissa naui quenaui nade,,
00400,3,41,nadsama madijapa occa mamari ojarie ajamani tojajari tohuati nahuana tajaridsa pohua bodipa jehe ajajaripa dsesocca madija pohuadsa accora onana nadsa pohuadsa da inadsa bica tani,—nazama madirrapa occa mamari orraria arramani torrarrari touati nauana tarrariza poua bodipa rrehe arrarraripa zesocca madirra pouaza accora onana naza pouaza da inaza bica tani,,
00842,1,41,occa dsinirope occa ohua tohuini onedsa da onani huajine bica tani aja pohuadenidsa ohuati huana ttedsape pohuadeni acco ocanabaqquijari najaro acconi tija mimanajarorane najari huidsajajinede nade jeso,occa zinirope occa oua touini oneza da onaniuarrine bica tani arra pouadeniza ouati uana tezape pouadeni acco ocanabaqquirrari narraro acconi tirramimanarrarorane narrari uizarra rrinede nade zeso,,
00943,4,41,nadsapa pohuadsa ecomeremanajari jomanodenicca taminedeja quenade nadsapa pohuadenidsa seso attipa jomanodenicca tamine pocca dsinirope pohuadsa da tinanimanaji neraha diocca tiquejenedsape pohua nacassa tahuiccara pohuadsa da tiquenaji nade seso,nazapa pouaza ecomeremanarrari —rromanodenicca taminederra quenade nazapa pouadeniza zeso attipa —rromanodenicca tamine pocca zinirope pouaza da tinanimanarri neraha deocca tiquerrenezape poua nacassa tauiccara pouaza da tiquenarri nade zeso,,
01053,4,41,madija mamaidsadedeni naco tiadenidsa jahui jonahuitohui pohuadenipa ohuapi cristo mesia ojani quenahuitohui ohuahadeni naco ohuapi diocca dsosseniji ojani pohua atti ohuacomeranihuajine quenaraha maidsemanajari n,madirra mamaizadedeni naco tiadeniza rrauirronauitoui pouadenipa ouape cristo mesia orrani quenauitoui ouahadeni naco ouape deocca zossenirri orrani poua atti ouacomeraniuarrine quenaraha maizemanarrari,,
01118,3,41,etero ocappiredsa naqui ohuadsa da tiquenade coma onedsa naqui ohuaqquide jajahuitija jona nade toponi cocorodsa huedsedsa naqui ohuaqquide jajahui tijedsima nade onanitohui pohuadenidsa,etero ocappireza naqui ouaza da tiquenade coma oneza naqui oua qquide rrarraui tirrarrona nade toponi cocoroza ouezeza naqui oua qquide rrarraui tirrezima nade onanitoui pouadeniza,,
01278,4,41,nadsama jorenani denidsa modsa nepi quenadsa najaro nepi nedsa niqui todsajaro najarope diccanadsa bararini ahuato tanihuajine nadsapa taminedeni isso teppeppedeni inebobaqquimanadsapa jahui tojanijari,nazama rrore nani ideniza moza nepi quenaza narraro nepi neza niqui tozanarraro narrarope dicca naza bararini auato taniuarrine nazapa taminedeni isso teppeppedeni inebobaqquimanazapa rraui torranirrari,,
01369,2,41,madijadenicca huima diosa tobicanihuajine pohuadeni accode occa jonajarode naraha madijapa iape bicaqquiri inani quequenanajaridenicca huima onanabicani huajine occa jona jerajaro huima siri totonanadedenicca huima onanabicanihuajinena occa jonajaro nahuinade jeso,madirradenicca uima deoza tobicaniuarrine pouadeni accode occarronarrarode naraha madirrapa iape bicaqquiri inani quequenanarraridenicca uima onanabicaniuarrine occarrona rrerarraro uimasiri totonanadedenicca uima onanabicaniuarrinena occarronarraro naui nade zeso,,
01540,5,41,nedsape taminehuaji huasinaja toqquedsimanidsa ponicca huatinaja huati tajaro jidapanana soa batista tati parato imeidsa huittidsadsa ohuadsa da ati canajo nani naden,nezape tamineuarri uassinarra toqquezimaniza ponicca uatinarra uati tarraro —rridapanana zouao batista tati parato imehiza uittizaza ouaza da ticanarro nani nade,,
01593,3,41,itaparipa ibodi huahuato nanihuaji toqquedsima jarahui ita paripa idsonedsana totoqquedsima najari dsotode miji inadsapa toqqueqquimajari nahuinade dseso pohua atti nama nadsapa ita pari huapima oppinera tahui najari n,itaparipa ibodi uauato naniuarri toqquezima rraraui itaparipa izonezana totoqquezima narrari zotode mirri inazapa toqqueqquimarrari naui nade zeso poua atti nama nazapa itapari uapima oppinera taui narrari,,
01637,3,41,nadsapa pohuadenidsa dsesoa attipa pan ohuijipani huajine oca nahua toriri canani opa jireni naraha pan oticappiremananicca huima huati onejerapa ticahua attera jeraccajaroqui nahuinade dseso,nazapa pouadeniza zeso attipa —pao irripaniuarrine ocanauatoriri canani oparrireni naraha pao ticappiremananicca uima uati onerrerapa ticauattera rreraccarraroqui naui nade zeso,,
01645,1,41,naraa pohuadeni attipa tiadsa madija motapa joao batista tijani queque nanajari ohuaha denipa maitta cadsamacca dio atti cacomerabote eria tijani quequenanajari ohuaha deni naco maitta cadsamacca dio atti cacomerabote ohuaha tijani queque nanajari quenahuinade dseso huatimadedeni attidenipa,naraha pouadeni attipa —tiaza madirra motapa zouao batista tirrani quequenanarrari ouahadenipa maittaccazamacca deo atti cacomerabote eria tirrani quequenanarrari ouahadeni naco maittaccazamacca deo atti cacomerabote ouaha tirrani quequenanarrari quenaui nade zeso uatimadedeni attidenipa,,
01696,3,41,ejedeni hua inadsa pohua huatimadedeni jasi nahuajani huinocconidsa inahua najari nadsapa idi dsojo ijidsadsa pohua huatimadedeni marica nabaqquejari,erredeni ua inaza poua uatimadedeni rrassi nauarraniui nocconiza inaua narrari nazapa idi zorro irrizaza poua uatimadedeni mari icanabaqquirrari,,
01697,4,41,pohua attipa ajajari ejedenisa najaridsa tetideni huana qquiri nedsape ohuadsa naqui tetideni huana qquiri najaro ohuadsa tetideni huanaqquiri nedsape ohua carosede abi diosa naqui tetideni huanaqquiri najaro nahuinade seso,poua attipa —arrarrari erredenissa narrariza tetideni uanaqquiri nezape ouaza naqui tetideni uanaqquiri narraro ouaza tetideni uanaqquiri nezape oua cazossede abi deoza naqui tetideni uanaqquiri narraro naui nade zeso,,
01755,3,41,naraha pohuadenidsa jesoa a najaro huimapi samomo tinani ohuapi ocaserani ohuabote nani ohuadsa najedsoe sonarinitohui aji tiadenipi najedsoe tina huanemananihuajine tipajiremanaqui nahui naden,naraha pouadeniza zesoa —a narraro uimape ssamomo tinani ouape ocasserani ouabote nani ouaza narrizoue ssonarinitoui arri tiadenipe narrizoue tinauanemananiuarrine tiparriremanaqui naui nade,,
01756,6,41,jehe ia naqui ipajireni quenahui nade nadsapa pohuadenidsa jesoa jehe pajissa ocasserani tinahuanemananitohui aji ohua najidsoue onahuanedsape tiadeni naqui nidsa dsotode najidsoue tinahuanemananitohui n,—rrehe ia naqui iparrireni quenaui nade nazapa pouadeniza zesoa —rrehe parrissa ocasserani tinauanemananitoui arri oua narrizoue onauanezape tiadeni naqui niza zotode narrizoue tinauanemananitoui,,
01814,5,41,nadsapa pocca dodsose ohuaha dsose inanijari naraha najaripa inanasoqquema najari dsotode naco pocca dodose tabaqqui dsose inanibaqquihui huapi taraha motadenipa itahuaqquemanajari motadenipa inanasoqqueridsema najarin,nazapa pocca zozosse ouaha zosse inanirrari naraha narraripa inanazoqque manarrari zotode naco pocca zozosse tabaqqui zosse inanibaqquiui uapi taraha motadenipa itauaquemanarrari motadenipa inanazoqque rizemanarrari,,
01873,3,41,taminedenidsa huima huatide nahuotoqquiri tiquinanihuajine dio pohua corimena tiadeni acco tocanabaqquihuitohui dio corimejine tiadenidsa huima ahuato tedsape najaro huimara huati tiquinaji huati tiquenedsape tettideniraha dio corime jinena huati tiquenajaro n,taminedeniza uima uatide nauatoqquiri tiquenaniuarrine deo poua corimena tiadeni acco tocanabaqquiuitoui deo corimerrine tiadeniza uima auato tezape narraro uimara uati tiquenarri uati tiquenezape tettideniraha deo corimerrinena uati tiquenarraro,,
01962,3,41,aja madija attidenipa dsesopa icca marinajadsa oppina tanicca inanapaja quenadsa taminedeni jehe najaro huimadso dseso dsoqquehuihuajine pajirehui quenaraha huima oppina tanicca bacco iquene-jerani n,arra madirra attidenipa —zesopa icca marinarraza oppina tanicca inanaparra quenaza taminedeni —rrehe narraro uimaza zeso zoqqueuiuarrine parrireui quenaraha uima oppina tanicca bacco iquena rrerani,,
01971,3,41,dio ita masojari pina ohuapi dio ojani najarisa nahua pohua atti hua'idera tani timittema nani jari tettideni nejecoma tiquenani nahuinade caipa naraa badsima jehe pohua atti nama nadsapa dsoqquena inajaro quenahui nade n,deo itamassorrari pina ouape deo orrani narrarissa naua poua atti uaidira tani timittemanani rrari tettideni nerrecoma tiquenani naui nade caipa naraha bazima —rrehe poua atti nama nazapa zoqquena inarraro quenaui nade,,
01975,3,41,naraha pedoro pohua namaidsajari a ohuapi onocco jidsa tani qqui onajarade najaro huima ssamo onani ohuapi nahuinade nadsa pedoropa boroni qqueqquedsimahuaji toccadsa huajari nanaja tacara huahua najari n,naraha pedoro poua namaizarrari —a ouape onocco rriza tani qqui onarrarade narraro uima ssamo onani ouape naui nade naza pedoropa boroni qqueqquezimauarri toccaza uarrari nanarra tacara uaua narrari,,
01977,2,41,naraha pedropa pohua namedsapomajari onocco jidsa tani napomahui nade naraha dsotodepa nahuidsa toqueriqquejari attidenipa pajissade tiape dsesocca tijade carireahuajicca madija tijahua quenahui nade pedrodsan,naraha pedoropa poua namaizapomarrari —onocco rriza tani napomaui nade naraha zotodepa nauiza toqueriqquirrari attidenipa —parrissade tiape zesocca tirrade carireauarricca madirra tirraua quenaui nade pedoroza,,
02001,0,41,iso tepepedenipa sesoia quema nanaja sama cirenacca madija simopa huisajahuaji canidsa iso tepepedeni bacco iji dsema najari najari simopa alesandre ropodenicca abi,isso teppeppedenipa zeso iaqquemananarra zama sirenecca madirra simaopa uizarrauarri ccaniza isso teppeppedeni bacco irrizemanarrari narrari simaopa aresadre ropodenicca abi,,
02014,5,41,najari maji trdsa jesopa pohua attidsa jasi rema huahua najari heroi heroi rema sabatani nahui nade najaropi ettidsape abi dio abi dio nejecotohui ohua tinebojaro najari nade n,narrari marri 3ʼza zesopa poua attiza rrazirema uaua narrari —eroi eroi rema sabatani naui nade narrarope ettizape —abi deo abi deo nerrecotoui oua tineborraro narrari nade,,
02272,4,41,nadsapa seso capernauhuaji toqquedsippajari capernaupe dsama carireacca osa panani nanidsape dio atti mamari cajimanajari nanihuaji pocca deni jasinajacca huadadsa sesopa madija mari icanabaqquijari,nazapa zeso capenaouarri toqquezipparrari capenaope zama carireacca oza panani nanizape deo atti mamari carrimanarrari naniuarri poccadeni rrassinarracca uadaza zesopa madirra mari icanabaqquirrari,,
02402,4,41,jaho nema tiquenedsape pina mamaedsade denissa tiquenajaro ticcadeni huima bica tejeredsape aji ticcadeni huimaha tina nabiquema napoji nadsana timecote acco tica nema nahuihuajine tipajire mananitohui onajaro najari dseson,rraho nema tiquenezape pina mamaizadedenissa tiquenarraro ticcadeni uima bica terrerezape arri ticcadeni uimaha tinanabiquemanaporri nazana timecote acco ticanemanauiuarrine tiparriremananitoui onarraro narrari zeso,,
02562,3,41,naraha jesopa tiadeni tina jipabaqquimanajo najari pohuadenidsa naraha pohuadeni attipa naraha pao  aba pama naha icajini denima icappirani quenajari nadsapa pohuadeni tapari odsapananihuaji mittade jahuijani huajinerane quenajari n,naraha zesopa —tiadeni tinarripabaqquimanarro narrari pouadeniza naraha pouadeni attipa —naraha pao aba pama naha icarrini denima icappirani quenarrari —nazapa pouadeni tapari oza pananiuarri mittade rrauirraniuarrinerane quenarrari,,
02571,5,41,nadsapa jeso pohuadenidsa huati tapomajari naraha tiadenidsapi nejecojari ojani najari nadsapa manaco pedro huati tajari tiapi diocca dsoseniji cristo mesia tijani najari n,nazapa zeso pouadeniza uati tapomarrari —naraha tiadenizape nerrecorrari orrani narrari nazapa manaco pedoro uati tarrari —tiape deocca zossenirri cristo mesia tirrani narrari,,
02699,4,41,aja ticcadeni mamari tabaqquipa dacorehe cajimanadsa tocorime siri mona dori jose ininebaqquima naraha pohuadenidsa beesebocca dacorehe ticajima nani tiquenattaqui nema tiquenejerani onajaro nadsama nejecotohui ohuadsa nema tiquenajaro tibodidenipi cajimama canajaro najari jeson,arra ticcadeni mamari tabaqquipa dacorehe carrimanaza tocorime siri mona dori zosse ininebaqqui manaraha pouadeniza beheosebocca dacorehe ticarrimanani tiquenattaqui nema tiquenerrerani onarraro nazama nerrecotoui ouaza nema tiquenarraro tibodidenipe carrimama canarraro narrari zeso,,
02738,5,41,jaho tiadenipi huahuattajo tiquejenanitohui tiadenipi dio atti cacomeraqquiri napojarideni noccobirideni tetepidsa siba hua tinamaroma najaro poccadeni huima bica tade eti jimejerana tique nadsa naraha najaridenipa ticcadeni ididenijine jicaridsajari,—rraho tiadenipe uauattarro tiquerrenanitoui tiadenipe deo atti cacomeraqquiri naporrarideni noccobirideni tetepiza siba ua tinamaromanarraro poccadeni uima bica tade eti rrima rrerana tiquenaza naraha narraridenipa ticcadeni ididenirrine rricarizarrari,,
02886,2,41,naraha jesopa pocca marinaja ajijaro namidsa ima dinicca huima tadsajani pohuadsa huati tajari jehe madija dsepe sse tajaria jipaqquie imeni onahuatona nadsapa madija huapi taha hua inabaqquijari,naraha zesopa pocca marinarra arrirraro namiza imadinicca uima tazarrani pouaza uati tarrari —rrehe madirra zepe sse tarraria rripaqquie imeni onauatona nazapa madirra uapi taha ua inabaqquirrari,,
03241,3,41,nesape nahuicca osajine dedsa huati tique nana ia maride attipa cohajicca coba canahuajaninidsa pascuacca jipaqquiedsa oji pani huajine occa sodsosse tabaqqui tedseje napaja tique nana,nezape nauicca oza rrinedeza uati tiquenana ia maride attipa couarricca coba canauarraniniza pascoacca rripaqquieza orripaniuarrine occa zozosse tabaqqui tezerre naparra tiquenana,,
03324,4,41,tamina herode naco pocca huima mittaraha pocca huima huahidera tanicca nohueredsa ohuahuaji dsosse inanipomajari aja desopa huima huahidera tanicca inanejeredsape pohuapa dsoqquehuihuajine bica tejerani,—tamine erodi naco pocca uima mittaraha pocca uima uaidira tanicca nouereza ouauarri zosse inanipomarrari arra zesopa uima uaidira tanicca inane rrerezape pouapa zoqqueuiuarrine bica terrerani,,
03327,3,41,naraha bajaba pohuajinena odsa panani jerosaredsa madija inaqueriqquidsa jomanodenidsa mohamoa quenadsa coro idsimema najari pohuajine naco madija dsoqquejari n,naraha barraba pouarrinena oza panani zerozareza madirra inequeriqquiza rromanodeniza moua moua quenaza coro izimemanarrari pouarrine naco madirra zoqquerrari,,
03381,2,41,naraha pedropa nama naha seso noccobirihuaji joppa tajari bacco tadsapa tonoccobiri bodihuaji tocattedsima nanaja seso assire jojore naqqui eteroa podseje nanira qqui tajari nadsapa pedro pocca odsahuaji bodi huatoha toccanijari,naraha pedoropa nama naha zeso noccobiriuarri rroppa tarrari bacco tazapa tonoccobiri bodiuarri tocattezima nanarra zeso assire rrorrore naqqui eteroa pozerre nanira qqui tarrari nazapa pedoro pocca ozauarri bodi uatoa toccanirrari,,
03525,2,41,madija motapa pohua pohuadeni tonahuaidire manadsapa ssihuajanidsa huattajoqquiri najari pohuadenipa ssihuajanidsa huajijira canaha najarahui poccadeni huima badsimadsa ahuato tajaro noppineni n,madirra motapa poua pouadeni tonauaidire manazapa ssiuarraniza uattarroqquiri narrari pouadenipa ssiuarraniza uarrirrira canaha narraraui poccadeni uima bazimaza auato tarraro noppineni,,
03708,3,41,nadsapa denima huati tajari najaroa ohuattipe occa abi madija ohuadsa inanabaqqui-jaradsapa ohuadsa toquejena-jarahui naraha occa abi ohuadsa inanabaqquijaridenina ohuadsa totoquejena najari nade jeso,nazapa denima uati tarrari —narraroa ouattipe occa abi madirra ouaza inanabaqqui rrarazapa ouaza toquerrena rraraui naraha occa abi ouaza inanabaqquirraridenina ouaza totoquerrena narrari nade zeso,,
04015,4,41,nadsapa dseso jadsirema huati huati tade ohuadsa pajissa najaripa ohuadsa a pajissa nahui ojari jarahui occa abi ohua dsosse naronajaridsa naco pajissa najari,nazapa zeso rrazirema uati uati tade —ouaza parrissa narraripa ouazaha parrissa naui orrari rraraui occa abi oua zosse naronarrariza naco parrissa narrari,,
04265,4,41,deso tone idejidsemana jarajaricca huimape dio atti dodso napojarocca huimadsa pajirenissa tani nani dio atti dodso napojarope tone ojaria jai inanaemana jarahuitohui naponi nade dio atti dodso nanidsan,zeso tone iderrizemana rrararraricca uimape deo atti dozo naporrarocca uimaza parrirenissa tani nani deo atti dozo naporrarope —tone orraria rrai inanemana rrarauitoui naponi nade deo atti dozo naniza,,
04300,3,41,nadsapa tomedsa huati tade tome odsepecca opparicca qqui taji tidsepedsa perecojine huahuajinajine odinidsa bara taji nade pajissa onejerani tejeraji pina jehe taji nade jeso,nazapa tomeza uati tade —tome ozepecca opparicca qqui tarri tizepeza perecorrine uauarrinarrine odiniza bara tarri nade — parrissa onerrerani terrerarri pina rrehe tarri nade zeso,,
04311,5,41,nadsapa seso attia nani tibijideni nahuatonihuaji tajapa coro ticadsippemanaji nade nedsapa seso attissa inanemanedsa tajapa coro icadsippedsape aba ijijari joca icani moraraha ipajire jerade n,nazapa zeso attia —nani tibirrideni nauatoniuarri tarrapa coro ticazippemanarri nade nezape zeso attissa inanemaneza tarrapa coro icazippezape aba irrirrari rroca icanimoraraha iparrire rrerade,,
